Company,jobtitle,overall_ratings,workLifebalance_ratings,culturevalues_ratings,carreropportunities_ratings,benefits_ratings,seniormangemnet_ratings
amazon,Account Executive/Sales,4,5,5,3,5,2
amazon,Account Health Support,1,1,1,1,3,1
amazon,Account Manager,4,3,4,4,4,4
amazon,Account Manager Fba,5,4,5,4,4,4
amazon,Account Representative,5,5,5,5,5,5
amazon,Account Representative II,5,3,5,4,5,3
amazon,Account Supervisor,3,3,3,3,3,4
amazon,Accountant,3,2,4,3,5,2
amazon,Accountant Executive,4,3,3,5,3,5
amazon,Accounting Analyst,4,4,5,4,5,4
amazon,Accounting Assistant,4,4,4,4,4,4
amazon,Accounts Manager,2,2,2,1,2,1
amazon,Accounts Payable Analyst,2,3,1,3,2,2
amazon,Accounts Receivable Analyst,5,5,3,5,5,4
amazon,Aces,5,5,5,5,5,5
amazon,Ad Operation Associate,5,5,5,5,5,5
amazon,Ad Operation SME,4,4,4,4,3,4
amazon,Ad Operations,4,3,4,2,4,3
amazon,Ad Operations Associate,4,4,4,4,5,4
amazon,Ad Operations Specialist,5,5,5,4,4,4
amazon,Ad Sales Manager,5,5,5,5,5,5
amazon,Administration,4,3,5,3,5,4
amazon,Administrative Assistant,4,3,3,3,4,3
amazon,Administrative Assistant III,3,1,2,2,5,2
amazon,Ads,3,3,3,3,3,3
amazon,Advertising,4,3,5,3,4,4
amazon,Advertising AE,2,1,2,2,3,3
amazon,Advertising Sales Director,5,4,5,5,4,5
amazon,Advisor,5,4,5,5,5,4
amazon,Afe Packing,4,5,4,4,4,4
amazon,Agent,2,2,1,1,2,1
amazon,Aksjhaksjdh,2,1,4,2,2,2
amazon,Alexa Data Services,4,4,4,4,4,4
amazon,Amazin Virtual Customer Service Representative,5,4,5,3,4,2
amazon,Amazon,4,3,3,4,4,3
amazon,Amazon Ambassador,5,3,5,5,5,5
amazon,Amazon Area Manager,4,2,3,4,4,3
amazon,Amazon Area Manager-temp,4,3,4,5,3,4
amazon,Amazon Associate,3,3,2,2,5,3
amazon,Amazon Associate - Inbound Lead,5,5,5,4,4,5
amazon,Amazon Brand Specialist,2,2,2,1,2,2
amazon,Amazon Communications,3,3,4,2,4,2
amazon,Amazon Customer Service,4,2,5,5,4,4
amazon,Amazon Customer Service Associate - Specialty OU,4,3,4,4,3,5
amazon,Amazon Data Center Technician II,5,3,4,5,5,4
amazon,Amazon Delivery Driver,4,4,4,4,4,4
amazon,Amazon Fire TV Stick(Install and Demo),5,5,5,5,5,5
amazon,Amazon Flex,2,3,2,3,2,2
amazon,Amazon Flex - Delivery,5,3,5,3,4,5
amazon,Amazon Flex Customer Service,1,2,3,2,2,1
amazon,Amazon Flex Driver,2,4,3,3,3,3
amazon,Amazon Fresh Associate,2,2,2,2,3,1
amazon,Amazon Fresh Sortation Associate,4,5,4,3,5,4
amazon,Amazon Fresh Warehouse Associate,3,3,2,2,3,2
amazon,Amazon Fulfillment Associate,4,3,4,5,3,3
amazon,Amazon Full Filament Center,5,5,5,5,5,5
amazon,Amazon Home Services,5,5,5,5,5,4
amazon,Amazon Human Resources,3,1,4,4,4,5
amazon,Amazon Human Resources Operations Administrative,2,1,1,4,5,1
amazon,Amazon Hyderabad,3,2,3,4,4,3
amazon,Amazon Logistics,4,4,5,3,3,3
amazon,Amazon Logistics Employee,4,2,4,5,3,3
amazon,Amazon Mechanical Turk Worker (ID: A167OT77I6TDC9),1,1,1,1,1,1
amazon,Amazon Media Group Associate Account Executive,5,5,5,5,5,5
amazon,Amazon Pathway Operations Manager,3,1,3,4,4,3
amazon,Amazon Pathways Ops Manager,3,2,2,5,5,2
amazon,Amazon Picker,2,2,2,2,4,2
amazon,Amazon Pop Up Retail Experience Consultant,2,2,5,5,5,4
amazon,Amazon Prime Fulfillment,4,4,5,3,3,3
amazon,Amazon Prime Now Associate,3,5,1,2,4,1
amazon,Amazon Prime Now Personal Shopper,2,3,2,2,3,2
amazon,Amazon SEO,5,5,5,5,5,5
amazon,Amazon Seller Support Associate,4,4,4,4,4,4
amazon,Amazon Software Development Engineer,4,3,4,4,4,4
amazon,Amazon Sort,3,3,4,3,4,3
amazon,Amazon Tier I,5,4,3,3,3,3
amazon,Amazon Video,5,5,5,5,5,4
amazon,Amazon Warehouse Associate,3,2,2,2,3,2
amazon,Amazon Warehouse Worker,4,3,4,3,4,3
amazon,Amazon Web Services - Global Director,5,4,5,5,4,3
amazon,Amazon Work From Home CSA,4,4,5,2,2,4
amazon,Amazon.com,5,5,5,5,5,5
amazon,Ambassador,4,3,3,3,4,3
amazon,Ambassador/Problem Solver,3,2,2,3,4,1
amazon,Ambassedor of Learning,\N,\N,3,3,2,2
amazon,Amnesty,4,2,3,3,3,3
amazon,Amnesty Associate,3,3,4,1,5,3
amazon,Amnesty Engineer for Amazon,5,5,5,5,5,4
amazon,Amnesty Technician,5,3,4,5,5,1
amazon,Amnesty Trainer,4,3,3,5,5,3
amazon,Analyst,4,3,4,4,4,3
amazon,Analytics &amp,\N,5,5,5,5,5
amazon,Anonymous,3,2,3,3,3,3
amazon,Anonymous Employee,4,3,4,4,4,3
amazon,Any,1,5,5,5,5,5
amazon,Any Which IS Suitable for Me,5,4,4,5,4,4
amazon,Ao Specialist,5,4,5,5,4,5
amazon,Aoosicate,5,4,5,4,3,4
amazon,App Store,1,1,4,2,3,3
amazon,Applications Analyst,5,5,5,5,4,5
amazon,Applications Development Engineer,4,3,3,3,4,3
amazon,Applications Engineer,4,3,4,4,4,3
amazon,Applications Support Engineer,3,3,3,4,3,4
amazon,Applied Scientist,5,4,5,5,4,4
amazon,Applied Scientist II,3,1,2,3,4,2
amazon,Apprentice,1,4,3,5,1,3
amazon,Architect,5,4,3,5,4,5
amazon,Area,4,3,4,5,5,4
amazon,Area Maintenance Manager,4,3,3,4,4,2
amazon,Area Manager,3,2,3,4,4,3
amazon,Area Manager (Level IV),3,3,4,4,5,2
amazon,Area Manager II,3,2,3,5,5,3
amazon,Area Manager Level V,4,2,3,4,4,3
amazon,Area Operations Manager,4,2,4,4,4,3
amazon,Area Supervisor,3,1,1,1,5,1
amazon,Artificial Intelligence Consultant,5,4,5,5,5,5
amazon,Assembly,5,5,5,5,5,5
amazon,Assembly Line Worker,4,3,4,4,4,3
amazon,Assistant ASM Manager,5,3,5,5,4,4
amazon,Assistant Manager,4,3,4,4,4,4
amazon,Assistant Manager Operations,5,4,5,4,4,4
amazon,Assistant Manager Ops,4,2,5,5,5,3
amazon,Assistant Process Manager,3,2,2,3,3,2
amazon,Assistant Retail Experience Manager (AREM),5,5,5,5,5,5
amazon,Assistant Shift Manager,4,4,5,5,4,4
amazon,Assistant Supervisor,4,3,4,4,4,4
amazon,Associate,3,3,3,3,4,3
amazon,Associate Account Manager,4,4,5,4,4,4
amazon,Associate Advisor,5,3,5,5,4,5
amazon,Associate Analyst,3,3,3,1,2,2
amazon,Associate Brand Specialist,5,4,5,5,4,5
amazon,Associate Buyer,4,4,4,3,3,5
amazon,Associate Catalog,5,4,5,4,5,2
amazon,Associate Consultant,5,4,4,4,4,4
amazon,Associate Contracts Manager,5,4,5,5,5,5
amazon,Associate I,3,3,3,3,2,3
amazon,Associate Marketing Manager,4,3,4,4,4,3
amazon,Associate Partner Manager,3,4,3,3,3,3
amazon,Associate Process Engineer,5,4,5,5,4,5
amazon,Associate Reverse Logistics,3,2,2,2,4,2
amazon,Associate Site Merchandiser,4,3,5,5,3,5
amazon,Associate Solution Architect,4,5,5,4,4,5
amazon,Associate Sourcing Recruiter,3,2,5,5,3,3
amazon,Associate Test Engineer,4,3,5,4,4,2
amazon,Associate Tier I,3,2,1,1,3,1
amazon,Associate Tier One,3,3,3,3,4,3
amazon,Associate Trainer,5,3,5,4,4,4
amazon,Associate Vendor Manager,4,2,4,4,4,3
amazon,Associate/Ambassador,4,3,3,3,3,4
amazon,Associate/Ship Dock,5,5,5,5,5,5
amazon,Associate,3,3,3,4,3,3
amazon,At Home Customer Service Representative,5,5,5,5,3,5
amazon,Audible Program Manager,5,3,5,5,4,4
amazon,Auditor,5,5,5,4,5,4
amazon,Aushilfe,5,4,4,4,4,3
amazon,Automation Analyst,5,5,5,2,3,4
amazon,Automation Engineer,5,5,5,5,5,5
amazon,Automation Specialist,5,5,5,4,5,3
amazon,Automation Test Analyst,4,3,5,3,3,3
amazon,Aws Account Manager,5,4,5,5,5,5
amazon,Aws Sysde,2,2,2,2,3,2
amazon,B2B Account Manager,5,4,5,5,5,5
amazon,BDM,4,3,4,4,4,4
amazon,BI Engineer,3,3,3,4,4,3
amazon,BOLD Operations Manager,3,3,3,3,4,3
amazon,BRI Investigator,2,1,4,1,4,1
amazon,Bartender,\N,5,4,4,5,5
amazon,Bie,4,4,3,4,4,4
amazon,Big Data Analytics Consultant,4,3,4,5,4,4
amazon,Big Data Architect,4,4,4,4,2,4
amazon,Big Data Consultant,5,4,5,5,5,5
amazon,Big Data Engineer,5,2,4,5,5,4
amazon,Big Data Support Engineer,5,3,5,5,5,2
amazon,Boss,5,3,4,5,4,3
amazon,Brand Ambassador,4,4,4,3,4,4
amazon,Brand Manager,4,2,3,3,4,4
amazon,Brand Marketing Manager,5,3,5,5,4,4
amazon,Brand Specialist,4,3,4,4,4,4
amazon,Brand Specialist SVS,4,3,4,4,4,3
amazon,Browse Developer &amp,\N,3,4,3,4,1
amazon,Busineess Analyst,4,4,4,3,5,3
amazon,Business Analyst,4,3,4,4,4,3
amazon,Business Analyst Contract,2,2,2,2,3,2
amazon,Business Analyst II,3,3,3,4,4,3
amazon,Business Analyst Lead,4,5,4,4,4,2
amazon,Business Analyst Support,5,4,5,5,5,4
amazon,Business Continuity Analyst,4,3,5,5,5,2
amazon,Business Customer Service Representative,4,5,4,5,5,4
amazon,Business Development,4,3,4,4,4,4
amazon,Business Development Director,3,1,4,3,3,3
amazon,Business Development Manager,4,3,4,4,4,4
amazon,Business Development Representative,5,4,4,5,5,5
amazon,Business Generalist,5,5,5,5,5,5
amazon,Business Intellgence Engineer,3,2,3,3,5,2
amazon,Business Intelligence Analyst,5,3,5,5,5,4
amazon,Business Intelligence Engineer,4,3,4,4,4,4
amazon,Business Intelligence Engineer II,5,4,5,5,5,5
amazon,Business Intelligence Manager,5,3,5,5,5,4
amazon,Business Manager,4,3,4,4,4,4
amazon,Business Operations Associate,4,4,5,4,4,4
amazon,Business Operations Manager,5,5,5,5,4,4
amazon,Business Operations Specialist,4,4,5,4,4,3
amazon,Business Specialist Team,5,5,5,1,2,2
amazon,Business Systems Analyst,5,5,4,4,5,4
amazon,Buyer,3,2,3,3,3,2
amazon,Buyer Risk Investigator,4,2,3,4,4,3
amazon,Buying Assistant II,5,5,4,5,5,5
amazon,Buying Manager,4,4,4,5,5,4
amazon,CAP Associate,5,4,5,2,5,3
amazon,CATALOG Analyst,4,5,5,5,4,4
amazon,CI Engineer,5,4,5,5,5,4
amazon,CMMS,4,2,5,5,5,2
amazon,CRM,5,4,5,4,5,4
amazon,CRM Consultant,2,4,3,5,4,1
amazon,CS,2,3,4,5,1,1
amazon,CS Associate,4,5,4,5,5,5
amazon,CS Lead,4,3,4,2,2,1
amazon,CS Supervisor,5,5,5,5,5,5
amazon,CS Team Manager,5,4,5,5,5,4
amazon,CS Training Specialist,5,4,5,5,4,4
amazon,CSA,4,3,4,3,3,3
amazon,CSA - Customer Service Associate,4,4,4,4,3,3
amazon,CSA @ PSC/Kaizen Representative/Training Assistant,5,5,5,5,4,5
amazon,CSA D2CS,2,1,1,2,2,1
amazon,CSA II,4,5,4,3,3,4
amazon,CSA III,3,3,3,3,4,2
amazon,CSA III Audible,4,3,5,1,5,3
amazon,CSA Seasonal,3,3,3,4,3,3
amazon,CSA VCC LOGISTICS,5,5,5,5,5,5
amazon,CSA Work From Home,5,5,5,5,5,5
amazon,CSA | CAP | VCC,3,3,4,3,5,5
amazon,CSAC Associate,4,4,5,5,5,5
amazon,CSE,4,4,4,4,4,4
amazon,CSNA - AZ,4,2,5,4,2,3
amazon,CSNA Resolution Specialist,4,4,4,4,4,4
amazon,CSNA Senior Associate,4,5,4,3,4,4
amazon,CSNA VCS Team Manager,5,5,5,5,5,5
amazon,CSNA-Retail Associate,4,3,5,4,1,4
amazon,CSR-1,4,5,5,4,2,4
amazon,CSUK Resolution Specialist,5,1,2,5,3,5
amazon,Cake Drcorator,5,5,5,5,5,3
amazon,California,4,3,4,4,4,3
amazon,Call Center Representative,5,5,2,5,4,3
amazon,Campaign Manager,5,4,5,4,4,4
amazon,Campus Associate,4,4,4,4,4,3
amazon,Campus Recruiter,3,2,3,5,3,3
amazon,Cat Lead,4,3,3,3,2,2
amazon,Catalog Assistant,5,5,5,5,4,4
amazon,Catalog Associate,4,4,4,4,4,3
amazon,Catalog Associate - German,5,4,5,5,5,4
amazon,Catalog Auditor,3,5,4,1,2,3
amazon,Catalog Consultant,4,3,3,4,3,3
amazon,Catalog Lead,5,4,5,5,5,4
amazon,Catalog Manager,5,4,5,5,4,3
amazon,Catalog Quality,3,3,4,1,2,2
amazon,Catalog Quality Associate,5,4,5,4,3,4
amazon,Catalog Quality Associate EN,5,5,5,5,1,4
amazon,Catalog Quality Management,4,5,4,2,2,3
amazon,Catalog Quality Specialist,3,4,4,2,3,3
amazon,Catalog Specialist,4,4,4,4,4,4
amazon,Catalog Specialist - Team Lead,4,4,5,4,3,3
amazon,Catalogue Assistant,5,3,4,5,4,3
amazon,Catalogue Associate,3,3,3,3,2,2
amazon,Catalogue Quality Associate,5,4,5,4,5,4
amazon,Cataloque As,4,4,5,3,3,3
amazon,Catalouge Specialist,5,5,5,3,3,4
amazon,Category Lead,4,3,3,4,2,4
amazon,Category Leader,5,5,5,5,5,4
amazon,Category Manager,5,3,4,4,4,4
amazon,Category Merchant Manager,4,3,4,5,4,3
amazon,Central Flow Lead,3,2,3,2,3,2
amazon,Central Operations,5,4,5,3,5,3
amazon,Central Operations Associate,5,5,4,5,5,4
amazon,Central Operations Dispatcher,5,5,5,3,4,3
amazon,Central Services Manager,5,5,3,2,3,1
amazon,Centralized Flow Lead,4,2,2,4,4,2
amazon,Certified Trainer,5,4,4,4,4,5
amazon,Change Management,5,5,5,5,5,5
amazon,Channel Marketing Manager,5,4,5,5,4,5
amazon,Channel Program Manager,5,3,5,5,5,4
amazon,Channel Team Lead,5,2,5,5,3,4
amazon,Chargeback Specialist,4,4,5,4,5,4
amazon,Chargé De Mission,5,3,3,3,3,3
amazon,Chef,5,5,5,5,5,5
amazon,Chef De Project Catalogue E-commerce,5,5,5,5,4,5
amazon,Chief Engineer,4,3,5,5,2,3
amazon,Chief Executive Officer,5,5,5,5,5,5
amazon,Chief Financial Officer,5,4,4,5,5,4
amazon,City Manager,5,4,5,5,5,4
amazon,Civil Engineer,4,4,4,5,3,5
amazon,Claims Associate Representative,4,3,5,4,3,4
amazon,Class A Truck Driver,5,5,5,5,5,5
amazon,Classification Specialist,5,5,4,2,3,4
amazon,Cleient Relations,5,4,5,4,4,5
amazon,Clerical,5,5,5,5,5,5
amazon,Client Lead,4,4,4,4,3,4
amazon,Client Lead Recruiter,5,4,5,5,4,5
amazon,Client Lead Technical Recruiter,5,5,5,5,5,5
amazon,Client Support Specialist,3,2,4,3,3,2
amazon,Closer,4,5,4,3,3,4
amazon,Cloud Architect,5,4,5,5,4,4
amazon,Cloud Associate,5,4,5,5,5,5
amazon,Cloud Engineer,5,5,4,4,5,4
amazon,Cloud Enterprise Architect,5,4,5,5,4,5
amazon,Cloud Infrastructure Architect,5,5,5,5,5,5
amazon,Cloud Support Associate,4,4,5,5,4,4
amazon,Cloud Support Associate I,5,5,5,5,5,5
amazon,Cloud Support Associate-1,4,3,4,4,4,4
amazon,Cloud Support Engineer,4,4,4,4,4,4
amazon,Cloud Support Engineer (Linux),1,3,1,1,2,1
amazon,Cloud Support Engineer Big Data,5,5,4,5,4,5
amazon,Cloud Support Engineer II,4,4,5,5,4,4
amazon,Cloud Support Engineer IV,5,5,5,5,5,4
amazon,Coaching Lead,3,4,2,2,3,3
amazon,Collator,3,3,4,1,3,1
amazon,Collections Specialist,5,1,2,5,3,5
amazon,Common Grunt,1,1,1,1,1,1
amazon,Communication Trainer,5,3,5,5,4,4
amazon,Communications,4,5,5,3,3,4
amazon,Communications Manager,5,4,4,5,5,4
amazon,Compliance,5,5,5,4,4,4
amazon,Compliance Analyst,5,5,5,2,4,1
amazon,Compliance Associate,5,5,5,5,3,4
amazon,Compliance Manager,4,3,4,4,4,4
amazon,Compliance Officer,3,2,2,3,1,1
amazon,Compliance Reviewer,5,4,5,5,5,5
amazon,Compliance Specialist,5,4,5,5,4,5
amazon,Compliance Testing Specialist,3,1,5,4,3,4
amazon,Computer Network and Systems Engineer,5,4,4,3,3,3
amazon,Computer Operator,5,5,5,5,5,3
amazon,Computer Scientist,5,4,5,5,5,5
amazon,Computer Technician,4,3,2,4,4,2
amazon,Computer Vision Scientist,4,3,4,4,5,4
amazon,Configuration Engineer,4,3,4,3,4,4
amazon,Consultant,5,4,5,5,4,4
amazon,Consumer Abuse Prevention Representative,5,3,5,5,5,5
amazon,Content Associate,3,4,5,4,3,2
amazon,Content Developer,3,3,3,3,4,3
amazon,Content Editor,4,3,4,4,4,3
amazon,Content Evaluation Specialist,5,4,5,5,4,4
amazon,Content Manager,3,2,4,3,4,4
amazon,Content Quality Associate,5,4,5,5,4,4
amazon,Content Reviewer,5,4,4,5,4,4
amazon,Content Risk Analyst,4,2,2,5,2,1
amazon,Content Test Associate,3,3,4,3,3,3
amazon,Content Test Specialist,3,3,3,3,3,2
amazon,Contract Technical Recruiter,2,3,4,3,2,3
amazon,Contractor,3,2,3,3,4,3
amazon,Contracts Manager,5,4,5,5,5,5
amazon,Control Buyer,3,4,4,4,2,3
amazon,Control Systems Specialist,3,3,3,3,4,3
amazon,Control Systems Technician,5,5,5,5,5,5
amazon,Controls Engineer,4,4,4,4,4,4
amazon,Controls Systems Tech,3,2,1,3,3,2
amazon,Coordinator,3,3,2,4,3,2
amazon,Copy Writer,5,3,4,4,4,3
amazon,Core Campus Associate,4,4,5,3,4,3
amazon,Corporate Counsel,4,3,3,4,4,4
amazon,Corporate Employee,2,1,2,2,2,1
amazon,Corporate Function,4,3,3,5,4,3
amazon,Corporate Level,3,2,4,4,4,3
amazon,Corporate Recruiter,5,4,5,5,4,5
amazon,Corporate Trainer,1,3,2,5,3,2
amazon,Counter,2,2,3,2,3,2
amazon,Courier Driver,3,2,2,2,2,5
amazon,Creative Content Specialist,5,4,4,5,5,5
amazon,Creative Manager,5,5,5,5,5,4
amazon,Credit Officer,4,4,4,4,4,4
amazon,Credit Risk Analyst,4,4,5,4,3,3
amazon,Crowd Sourcing,4,1,5,3,1,1
amazon,Cs MANAGER,4,2,4,4,4,5
amazon,Cs Operations,5,4,5,4,5,4
amazon,Csfa,2,1,1,1,1,1
amazon,Csna,3,3,3,4,3,3
amazon,Csr1,5,3,5,5,5,5
amazon,Current Employee,1,1,1,1,1,1
amazon,Custodian,4,4,4,4,4,2
amazon,Custoemr Service Manager,5,2,4,4,4,4
amazon,Customer Adviser,5,4,4,3,5,3
amazon,Customer Care Executive,5,5,5,5,5,5
amazon,Customer Experience Manager,5,4,5,5,4,5
amazon,Customer Fulfillment Associate,3,3,2,3,5,3
amazon,Customer Returns Processor,3,3,1,2,4,3
amazon,Customer Service,3,3,3,3,3,3
amazon,Customer Service Advisor French Speaker,4,4,4,5,2,5
amazon,Customer Service Agent,5,4,5,3,4,4
amazon,Customer Service Associate,4,4,4,4,4,4
amazon,Customer Service Associate - Virtual,4,3,4,3,3,3
amazon,Customer Service Associate Digital Support,3,2,2,1,4,2
amazon,Customer Service Associate II,5,3,5,3,3,3
amazon,Customer Service Associate Seasonal,3,4,4,3,3,4
amazon,Customer Service Coaching Lead,3,1,2,4,3,2
amazon,Customer Service Lead,4,2,4,2,3,1
amazon,Customer Service Manager,3,2,3,3,4,3
amazon,Customer Service PM,3,4,2,4,4,1
amazon,Customer Service Representative,4,4,4,4,4,3
amazon,Customer Service Representative -reserve,3,4,5,4,2,4
amazon,Customer Service Representative III,3,2,1,4,5,1
amazon,Customer Service Specialist,4,3,4,4,4,3
amazon,Customer Service Supervisor,4,4,4,4,4,4
amazon,Customer Service Team Lead,3,4,4,3,4,4
amazon,Customer Service Team Leader,5,5,5,5,5,5
amazon,Customer Service Team Manager,5,4,5,4,5,5
amazon,Customer Service/Return Desk Associate,5,4,5,5,5,5
amazon,Customer Services Associate,4,4,4,4,4,4
amazon,Customer Services Representative,4,3,4,2,3,4
amazon,Customer Services Team Manager,5,5,4,5,3,3
amazon,Customer Solutions Engineer,5,5,5,4,5,5
amazon,Customer Success Manager,5,5,3,4,5,4
amazon,Customer Support,5,5,5,5,5,3
amazon,Customer Support Associate,4,4,4,4,4,4
amazon,Customer Support Engineer II,5,5,5,5,4,5
amazon,Customer Support Executive,3,3,5,3,4,2
amazon,Customer Support Representative,4,4,4,4,4,4
amazon,Customer Technical Support,5,3,5,4,4,5
amazon,CustomerCare,2,2,3,1,4,5
amazon,Customs Worker,1,1,1,1,1,1
amazon,Cycle Counter,3,2,5,3,5,2
amazon,D2TS Aasociate,4,4,4,4,4,4
amazon,D2TS Associate,\N,1,2,2,3,1
amazon,D2VTS Team Manager,4,4,5,5,3,4
amazon,DART,5,2,5,5,3,4
amazon,DATA ASSOCIATE,\N,5,5,5,5,5
amazon,DC Tech,5,5,5,5,5,5
amazon,DCEO,5,4,4,5,4,3
amazon,DCEO Facility Manager,5,5,5,5,5,5
amazon,DCEO Generator Tech IV,5,3,5,5,5,4
amazon,DCEO Training Specialist,5,5,5,5,5,5
amazon,DCO,4,4,4,4,4,3
amazon,DCO Manager,5,3,5,5,5,5
amazon,DCO Tech III,2,4,2,3,3,1
amazon,DE Catalog Associate ( German Language Field ),4,4,5,4,4,4
amazon,DRH,5,4,5,5,4,4
amazon,DSP Driver,1,1,1,1,1,1
amazon,Data A,5,4,5,4,3,4
amazon,Data Analyst,4,3,4,4,4,4
amazon,Data Analyst Intern,4,4,5,5,3,4
amazon,Data Associate,4,4,4,3,4,3
amazon,Data Associate (ADS),5,5,5,5,5,5
amazon,Data Center Engineer,4,4,4,3,4,4
amazon,Data Center Hardware &amp,\N,2,4,2,1,3
amazon,Data Center Manager,4,2,4,5,5,4
amazon,Data Center Operation,3,2,5,2,2,1
amazon,Data Center Operations,4,2,4,4,4,3
amazon,Data Center Operations Engineer,4,3,4,5,4,3
amazon,Data Center Operations Manager,5,3,5,5,3,5
amazon,Data Center Operations Technician,5,4,5,5,5,4
amazon,Data Center Security Manager,5,5,5,5,5,5
amazon,Data Center Technician,4,4,4,4,4,4
amazon,Data Center Technician II,5,4,5,5,4,3
amazon,Data Center Technician L4,1,1,2,5,3,1
amazon,Data Centre Operations Technician,4,4,4,5,5,4
amazon,Data Engineer,4,3,4,4,4,4
amazon,Data Engineer - I,5,5,5,5,5,5
amazon,Data Engineer I,5,4,5,5,5,3
amazon,Data Engineer II,4,3,4,4,4,3
amazon,Data Entry,5,4,4,4,4,4
amazon,Data Entry Clerk,1,1,1,1,1,1
amazon,Data Entry Operator,4,4,5,4,5,4
amazon,Data Mapper,3,4,4,4,4,2
amazon,Data Scientist,5,4,4,5,4,4
amazon,Data Specialist,4,3,5,4,5,2
amazon,Data Tech,3,1,5,5,4,4
amazon,Data Technician II,5,5,5,5,5,5
amazon,Data Warehouse ETL Developer,3,3,3,4,3,2
amazon,Database Administrator,4,3,5,4,4,4
amazon,Database Administrator II,5,3,5,5,5,4
amazon,Database Engineer,4,2,2,5,5,4
amazon,Datacenter,5,5,5,5,5,5
amazon,Datacenter Linux Engineer,2,1,1,1,2,2
amazon,Datacenter Manager,3,2,4,3,3,2
amazon,Datacenter Technician,5,3,5,4,5,3
amazon,Date Entry Clerk,2,5,5,5,5,5
amazon,Date Entry/Copy Paste,4,4,4,4,4,4
amazon,Declined Offer,\N,4,4,3,4,5
amazon,Delivery Associate,2,2,4,3,4,4
amazon,Delivery Driver,3,3,3,3,3,3
amazon,Delivery Station Liaison,4,4,4,4,3,5
amazon,Dental Assistant,4,5,5,5,5,5
amazon,Department - Process Assistant PA Teir3,4,2,4,4,4,4
amazon,Department Supervisor,5,2,5,4,4,4
amazon,Design Director,5,5,5,5,5,5
amazon,Design Manager,3,2,4,3,3,4
amazon,Design Technologist,4,4,4,5,3,4
amazon,Designer,3,3,4,4,4,3
amazon,Dev Manager,3,3,4,4,3,3
amazon,Developer Advocate,5,5,4,5,5,5
amazon,Developer Support Engineer,4,4,4,4,3,3
amazon,Development Engineer,4,3,2,5,5,3
amazon,Device Associate,4,4,4,4,4,4
amazon,Device Associate - Test,5,4,5,4,4,4
amazon,Device Associate I,3,3,3,4,2,4
amazon,Device Associate/Test Engineer,4,4,4,4,4,4
amazon,Device Associative,5,4,3,5,5,3
amazon,Device Engineer,5,5,5,3,1,1
amazon,Device Engineer (Test Engineer),5,5,5,5,5,5
amazon,Device Lead,2,1,3,2,4,2
amazon,Device/Content Test Associate,4,4,4,4,4,4
amazon,Devops Engineer,5,4,4,5,5,4
amazon,Digital,\N,5,5,5,5,5
amazon,Digital Associate,5,4,5,4,5,4
amazon,Digital Content Associate,5,5,5,5,5,5
amazon,Digital Content Specialist,5,5,4,5,3,4
amazon,Digital Marketing,5,4,5,5,5,4
amazon,Digital Marketing Manager,4,3,4,4,4,3
amazon,Digital Marketing Specialist,5,4,5,5,4,4
amazon,Digital Media Operations,5,5,4,4,4,5
amazon,Digital Media Specialist,4,3,4,5,5,2
